OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-1246,2020-012BK,2026-01-02T20:40:41.999981,15.06406047,.0001465,53.0543,342.1316,92.6411,89.7615,0,C,45235,2,1,-.98948E-3,-.14765E-3,0,0.396,SpaceX-E
STARLINK-1270,2020-012BM,2026-01-02T20:55:42.000010,15.36995625,.0001207,53.0539,299.4855,85.6720,27.0729,0,C,45237,2,1,.48348E-3,.17801E-3,0,0.256,SpaceX-E
STARLINK-1279,2020-019A,2026-01-02T19:26:41.999971,15.43611822,.0003129,53.0487,55.1227,292.0738,345.3646,0,C,45360,2,1,.2204E-2,.10129E-2,0,0.278,SpaceX-E
STARLINK-1301,2020-019B,2026-01-02T20:14:42.000029,15.48675634,.0005526,53.0473,63.3208,310.3085,325.2345,0,C,45361,2,1,.17201E-2,.94132E-3,0,0.280,SpaceX-E
STARLINK-1306,2020-019C,2026-01-02T20:55:42.000010,16.04237892,.0005716,53.0330,34.1168,49.0955,237.3711,0,C,45362,2,1,.97226E-3,.68795E-2,0,0.302,SpaceX-E
STARLINK-1262,2020-019G,2026-01-02T20:43:42.000038,15.06411473,.0001555,53.0554,102.1220,85.6224,208.0569,0,C,45366,2,1,.92567E-3,.13826E-3,0,0.403,SpaceX-E
STARLINK-1273,2020-019H,2026-01-02T20:21:42.000019,15.06364227,.0001406,53.0551,102.1905,99.3007,351.5209,0,C,45367,2,1,.22551E-2,.33656E-3,0,0.246,SpaceX-E
STARLINK-1276,2020-019J,2026-01-02T20:39:42.000019,15.06397102,.0001604,53.0544,102.1377,73.1982,245.4466,0,C,45368,2,1,.14304E-2,.21361E-3,0,0.258,SpaceX-E
STARLINK-1277,2020-019K,2026-01-02T20:38:41.999971,15.06341258,.0001455,53.0538,102.7650,81.9368,272.5690,0,C,45369,2,1,.42381E-2,.63264E-3,0,0.717,SpaceX-E
STARLINK-1281,2020-019L,2026-01-02T20:26:42.000000,15.06394087,.0001457,53.0534,102.1793,71.8389,257.8463,0,C,45370,2,1,.14052E-2,.20983E-3,0,0.258,SpaceX-E
STARLINK-1300,2020-019Q,2026-01-02T20:42:41.999990,15.06391468,.0001327,53.0552,102.1263,95.3594,174.6013,0,C,45374,2,1,.13444E-2,.20073E-3,0,0.309,SpaceX-E
STARLINK-1302,2020-019R,2026-01-02T20:39:42.000019,15.06362152,.0001372,53.0547,102.1357,80.6804,97.9918,0,C,45375,2,1,.22741E-2,.33939E-3,0,0.260,SpaceX-E
STARLINK-1304,2020-019S,2026-01-02T20:02:41.999971,15.23882668,.0001214,53.0553,101.7267,77.5665,131.0593,0,C,45376,2,1,.4073E-1,.10289E-1,0,0.481,SpaceX-E
STARLINK-1305,2020-019T,2026-01-02T20:33:41.999990,15.41524564,.0002904,53.0499,86.6947,256.5686,11.6309,0,C,45377,2,1,.25357E-2,.10866E-2,0,0.272,SpaceX-E
STARLINK-1319,2020-019V,2026-01-02T20:37:42.000010,15.45041243,.0003792,53.0522,86.9745,250.1701,271.5248,0,C,45379,2,1,.23205E-2,.112E-2,0,0.276,SpaceX-E
STARLINK-1266,2020-019Z,2026-01-02T20:33:41.999990,15.06366848,.0001819,53.0536,82.1573,76.8923,229.1663,0,C,45383,2,1,.21138E-2,.31548E-3,0,0.252,SpaceX-E
STARLINK-1267,2020-019AA,2026-01-02T20:18:41.999962,15.37930549,.0001534,53.0550,79.9828,25.1105,342.3818,0,C,45384,2,1,.22366E-2,.85068E-3,0,0.269,SpaceX-E
STARLINK-1272,2020-019AC,2026-01-02T19:47:42.000029,15.43902096,.0004814,53.0500,65.6624,291.5713,107.5761,0,C,45386,2,1,.62398E-3,.28895E-3,0,0.272,SpaceX-E
STARLINK-1274,2020-019AD,2026-01-02T20:21:42.000019,15.37702844,.0004813,53.0321,55.4508,18.6221,100.5782,0,C,45387,2,1,.23657E-2,.89364E-3,0,0.279,SpaceX-E
STARLINK-1280,2020-019AE,2026-01-02T20:23:42.000029,15.50526984,.0003581,53.0488,82.3566,259.7790,136.4160,0,C,45388,2,1,.18639E-2,.1089E-2,0,0.272,SpaceX-E
STARLINK-1283,2020-019AF,2026-01-02T20:14:42.000029,15.42574904,.000572,53.0502,65.6542,7.1681,268.0757,0,C,45389,2,1,.17871E-2,.79281E-3,0,0.277,SpaceX-E
STARLINK-1284,2020-019AG,2026-01-02T20:38:41.999971,15.06373073,.0001499,53.0539,82.1439,81.8529,223.0107,0,C,45390,2,1,.2523E-2,.37668E-3,0,0.316,SpaceX-E
STARLINK-1297,2020-019AM,2026-01-02T20:42:41.999990,15.06370701,.0001368,53.0546,82.1276,83.5824,36.3983,0,C,45395,2,1,.17384E-2,.25945E-3,0,0.329,SpaceX-E
STARLINK-1307,2020-019AP,2026-01-02T20:28:42.000010,15.06104189,.0001509,53.0549,82.1710,79.9642,27.2426,0,C,45397,2,1,.32565E-1,.48858E-2,0,3.155,SpaceX-E
STARLINK-1255,2020-019AR,2026-01-02T20:43:42.000038,15.41118656,.0003355,53.0474,56.7214,33.8113,252.4698,0,C,45399,2,1,.21549E-2,.91059E-3,0,0.285,SpaceX-E
STARLINK-1260,2020-019AW,2026-01-02T20:17:42.000000,15.06412745,.000141,53.0540,72.2038,92.6478,328.0823,0,C,45404,2,1,-.77271E-5,-.11537E-5,0,0.529,SpaceX-E
STARLINK-1263,2020-019AX,2026-01-02T20:36:41.999962,15.06424059,.0001764,53.0534,72.1479,91.3328,120.9641,0,C,45405,2,1,-.54475E-4,-.8136E-5,0,0.531,SpaceX-E
STARLINK-1265,2020-019AY,2026-01-02T20:02:41.999971,15.06413800,.0001385,53.0532,72.2536,88.8049,315.4106,0,C,45406,2,1,-.18633E-4,-.27821E-5,0,0.523,SpaceX-E
STARLINK-1278,2020-019BA,2026-01-02T20:20:41.999971,15.43405713,.0003797,53.0498,85.9439,258.9091,102.5954,0,C,45408,2,1,.25308E-2,.11557E-2,0,0.267,SpaceX-E
STARLINK-1296,2020-019BE,2026-01-02T20:08:42.000000,15.06405132,.0001511,53.0537,72.2329,95.9754,310.8624,0,C,45412,2,1,.11943E-3,.17829E-4,0,0.500,SpaceX-E
STARLINK-1298,2020-019BF,2026-01-02T20:40:41.999981,15.67159633,.0005267,53.0426,24.5456,74.8584,341.3810,0,C,45413,2,1,.15415E-2,.16986E-2,0,0.289,SpaceX-E
STARLINK-1309,2020-019BG,2026-01-02T20:39:42.000019,15.06416210,.0001433,53.0534,72.1384,90.7826,352.8431,0,C,45414,2,1,-.9105E-4,-.13595E-4,0,0.551,SpaceX-E
STARLINK-1316,2020-019BH,2026-01-02T20:14:42.000029,15.06403960,.0001362,53.0543,72.2147,90.6206,118.7757,0,C,45415,2,1,.36668E-3,.54742E-4,0,0.428,SpaceX-E
STARLINK-1318,2020-019BJ,2026-01-02T20:37:42.000010,15.74299644,.0004669,53.0446,12.8104,55.9559,248.4282,0,C,45416,2,1,.11114E-2,.1652E-2,0,0.296,SpaceX-E
STARLINK-1286,2020-019BK,2026-01-02T20:37:42.000010,15.43962039,.000179,53.0517,85.5983,290.9982,337.0210,0,C,45417,2,1,.83091E-3,.38554E-3,0,0.269,SpaceX-E
STARLINK-1308,2020-019BM,2026-01-02T20:34:42.000038,15.06032610,.0001243,53.0544,102.1500,89.1612,10.7807,0,C,45419,2,1,.64459E-1,.978E-2,0,1.371,SpaceX-E
STARLINK-1329,2020-025A,2026-01-02T20:30:42.000019,15.43765453,.0003471,53.0543,37.0064,32.0138,344.5756,0,C,45531,2,1,.23468E-2,.10844E-2,0,0.281,SpaceX-E
STARLINK-1338,2020-025B,2026-01-02T20:35:42.000000,15.41768175,.0001323,53.0538,39.7302,77.8261,298.0100,0,C,45532,2,1,.65768E-3,.28335E-3,0,0.277,SpaceX-E
